Total Documents,699
Search Query,Document containing term(df),Total Documents(N)/ number of documents term appeared (df),Log10(N/df)
canada,216,699/216,0.47712125471966244
university,97,699/97,0.8450980400142568
dalhousie university,13,699/13,1.724275869600789
halifax,66,699/66,1.0
business,64,699/64,1.0
